user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
849455,18,2,2023-05-02,2023-05-05,3,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,356.0,271.0,2.0,205,17,0.08292682926829269,188
849460,682,20,2023-04-28,2023-06-01,34,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0,156,20,0.1282051282051282,136
849464,37,2,2023-04-28,2023-04-29,1,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,144,18,0.125,126
849466,209,12,2023-04-28,2023-06-01,34,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,84,20,0.23809523809523808,64
849469,140,10,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,F,3944.0,271.0,2.0,245,126,0.5142857142857142,119
849471,97,6,2023-04-28,2023-05-17,19,2023-04-28,0.56,50 이상,50 이상,,M,3946.0,271.0,2.0,400,110,0.275,290
849475,456,18,2023-04-28,2023-07-11,74,2023-04-28,0.56,50 이상,50 이상,,M,3944.0,271.0,2.0,472,193,0.4088983050847458,279
849477,194,8,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0,290,118,0.4068965517241379,172
849479,472,10,2023-04-28,2023-05-16,18,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0,215,46,0.21395348837209302,169
849486,47,7,2023-04-28,2023-06-12,45,2023-04-28,0.56,50 이상,50 이상,,F,3942.0,271.0,2.0,44,9,0.20454545454545456,35
849487,613,17,2023-04-28,2023-05-29,31,2023-04-28,0.56,50 이상,50 이상,,F,3942.0,271.0,2.0,313,114,0.36421725239616615,199
849488,266,11,2023-04-28,2023-05-19,21,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0,612,205,0.3349673202614379,407
849489,427,16,2023-04-28,2023-05-15,17,2023-04-28,0.56,50 이상,50 이상,,F,3942.0,271.0,2.0,315,114,0.3619047619047619,201
849490,195,7,2023-04-28,2023-05-12,14,2023-04-28,0.56,50 이상,50 이상,,F,3942.0,271.0,2.0,247,80,0.32388663967611336,167
849491,290,14,2023-04-29,2023-05-28,29,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3949.0,271.0,1.0,365,117,0.32054794520547947,248
849493,427,18,2023-04-28,2023-06-11,44,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0,321,101,0.3146417445482866,220
