user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade
838023,22,5,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,233.0,271.0,1.0
838466,127,6,2023-05-02,2023-05-07,5,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,321.0,369.0,2.0
838642,10,2,2023-04-28,2023-04-29,1,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
839357,205,8,2023-04-29,2023-05-07,8,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,519.0,271.0,1.0
840293,170,7,2023-05-03,2023-05-15,12,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,838.0,369.0,1.0
840473,165,12,2023-05-03,2023-05-21,18,2023-05-03,0.42297650130548303,50 미만,,50 미만,M,915.0,369.0,1.0
840474,41,5,2023-05-03,2023-05-08,5,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,916.0,369.0,1.0
840512,131,7,2023-05-02,2023-05-16,14,2023-05-02,0.5694444444444444,50 이상,50 이상,,M,930.0,369.0,1.0
840685,547,16,2023-05-02,2023-05-23,21,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,838.0,369.0,1.0
840902,245,13,2023-05-02,2023-05-17,15,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,1058.0,369.0,2.0
841333,338,11,2023-05-03,2023-05-16,13,2023-05-03,0.42297650130548303,50 미만,,50 미만,M,1212.0,369.0,3.0
841576,227,11,2023-05-09,2023-05-21,12,2023-05-09,0.7316017316017316,50 이상,50 이상,,F,1293.0,5491.0,2.0
841809,543,16,2023-05-03,2023-05-20,17,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,1379.0,369.0,1.0
844453,156,10,2023-05-05,2023-05-25,20,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2414.0,352.0,1.0
844462,235,13,2023-05-05,2023-05-22,17,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2417.0,352.0,2.0
844630,210,4,2023-05-05,2023-05-08,3,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2466.0,352.0,3.0
845238,96,15,2023-04-29,2023-05-17,18,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,233.0,271.0,1.0
845269,225,17,2023-05-05,2023-05-25,20,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2697.0,352.0,1.0
845326,88,7,2023-05-04,2023-05-17,13,2023-05-04,0.33532934131736525,50 미만,,50 미만,F,2765.0,369.0,3.0
847375,360,13,2023-04-28,2023-05-23,25,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849103,1594,28,2023-04-28,2023-05-25,27,2023-04-28,0.56,50 이상,50 이상,,F,3833.0,271.0,1.0
849436,628,11,2023-04-28,2023-05-16,18,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849438,305,14,2023-04-28,2023-05-18,20,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849439,223,3,2023-04-28,2023-04-30,2,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0
849441,119,6,2023-04-28,2023-05-04,6,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849442,79,5,2023-04-28,2023-05-12,14,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849443,102,4,2023-04-28,2023-05-02,4,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849444,123,5,2023-04-28,2023-05-03,5,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0
849445,254,11,2023-04-28,2023-05-11,13,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0
849446,438,15,2023-04-28,2023-05-19,21,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849450,439,11,2023-04-28,2023-05-25,27,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849451,561,12,2023-04-28,2023-05-22,24,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0
849452,282,7,2023-04-28,2023-05-06,8,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0
849453,20,3,2023-04-28,2023-04-30,2,2023-04-28,0.56,50 이상,50 이상,,F,3939.0,271.0,2.0
849454,323,11,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,F,3940.0,271.0,2.0
849455,18,2,2023-05-02,2023-05-05,3,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,356.0,271.0,2.0
849460,626,16,2023-04-28,2023-05-25,27,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849464,37,2,2023-04-28,2023-04-29,1,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0
849466,204,11,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0
849469,140,10,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,F,3944.0,271.0,2.0
849471,97,6,2023-04-28,2023-05-17,19,2023-04-28,0.56,50 이상,50 이상,,M,3946.0,271.0,2.0
849475,431,14,2023-04-28,2023-05-25,27,2023-04-28,0.56,50 이상,50 이상,,M,3944.0,271.0,2.0
849477,194,8,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0
849479,472,10,2023-04-28,2023-05-16,18,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0
849486,40,6,2023-04-28,2023-05-25,27,2023-04-28,0.56,50 이상,50 이상,,F,3942.0,271.0,2.0
849487,607,16,2023-04-28,2023-05-21,23,2023-04-28,0.56,50 이상,50 이상,,F,3942.0,271.0,2.0
849488,266,11,2023-04-28,2023-05-19,21,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0
849489,427,16,2023-04-28,2023-05-15,17,2023-04-28,0.56,50 이상,50 이상,,F,3942.0,271.0,2.0
849490,195,7,2023-04-28,2023-05-12,14,2023-04-28,0.56,50 이상,50 이상,,F,3942.0,271.0,2.0
849491,277,12,2023-04-29,2023-05-18,19,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3949.0,271.0,1.0
849493,349,11,2023-04-28,2023-05-13,15,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0
849497,173,7,2023-04-28,2023-05-07,9,2023-04-28,0.56,50 이상,50 이상,,F,3950.0,271.0,2.0
849498,37,3,2023-04-28,2023-05-12,14,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849502,2,2,2023-04-28,2023-05-02,4,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0
849503,913,16,2023-04-28,2023-05-25,27,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0
849504,303,8,2023-04-28,2023-05-11,13,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0
849512,517,11,2023-04-28,2023-05-08,10,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0
849515,234,13,2023-04-28,2023-05-23,25,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0
849526,494,19,2023-04-28,2023-05-19,21,2023-04-28,0.56,50 이상,50 이상,,F,3939.0,271.0,2.0
849528,248,10,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,757.0,271.0,2.0
849535,168,6,2023-04-28,2023-05-11,13,2023-04-28,0.56,50 이상,50 이상,,M,3947.0,271.0,2.0
849541,43,4,2023-04-28,2023-05-02,4,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0
849543,925,20,2023-04-28,2023-05-25,27,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0
849548,293,12,2023-04-28,2023-05-16,18,2023-04-28,0.56,50 이상,50 이상,,F,3959.0,271.0,2.0
849549,248,11,2023-04-28,2023-05-09,11,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0
849558,284,11,2023-04-28,2023-05-16,18,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849559,766,24,2023-04-28,2023-05-21,23,2023-04-28,0.56,50 이상,50 이상,,F,3959.0,271.0,2.0
849566,139,6,2023-04-28,2023-05-06,8,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0
849582,116,5,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3966.0,271.0,2.0
849620,415,16,2023-04-28,2023-05-21,23,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0
849623,30,7,2023-05-02,2023-05-18,16,2023-05-02,0.5694444444444444,50 이상,50 이상,,M,3946.0,271.0,2.0
849634,524,12,2023-04-28,2023-05-13,15,2023-04-28,0.56,50 이상,50 이상,,M,3950.0,271.0,2.0
