user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
849454,295,10,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3940.0,271.0,2.0,448,137,0.30580357142857145,311
849455,18,2,2023-05-02,2023-05-05,3,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,356.0,271.0,2.0,205,17,0.08292682926829269,188
849460,612,15,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,157,20,0.12738853503184713,137
849464,20,1,2023-04-29,2023-04-29,0,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,144,18,0.125,126
849466,172,10,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,84,20,0.23809523809523808,64
849469,120,9,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3944.0,271.0,2.0,245,126,0.5142857142857142,119
849471,59,5,2023-04-29,2023-05-17,18,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3946.0,271.0,2.0,403,110,0.2729528535980149,293
849475,375,13,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3944.0,271.0,2.0,472,193,0.4088983050847458,279
849477,177,7,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3942.0,271.0,2.0,290,118,0.4068965517241379,172
849479,413,9,2023-04-29,2023-05-16,17,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3947.0,271.0,2.0,216,46,0.21296296296296297,170
849486,36,5,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3942.0,271.0,2.0,44,9,0.20454545454545456,35
849487,571,15,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3942.0,271.0,2.0,315,114,0.3619047619047619,201
849488,198,10,2023-04-29,2023-05-19,20,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3942.0,271.0,2.0,615,206,0.33495934959349594,409
849489,381,15,2023-04-29,2023-05-15,16,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3942.0,271.0,2.0,315,114,0.3619047619047619,201
849490,184,6,2023-04-29,2023-05-12,13,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3942.0,271.0,2.0,247,80,0.32388663967611336,167
849491,277,12,2023-04-29,2023-05-18,19,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3949.0,271.0,1.0,365,117,0.32054794520547947,248
849493,308,10,2023-04-29,2023-05-13,14,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3942.0,271.0,2.0,323,101,0.3126934984520124,222
849497,155,6,2023-04-29,2023-05-07,8,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3950.0,271.0,2.0,240,32,0.13333333333333333,208
